=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-6-16_17-35-1
====================================================================================
17:35:1 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
17:35:1 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
17:35:1 | [PermissionManager] Perm (MenuBansManager) has been registered!
17:35:1 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
17:35:1 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
17:35:1 | [PermissionManager] Perm (MenuWebHooks) has been registered!
17:35:1 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
17:35:1 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
17:35:1 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
17:35:1 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
17:35:1 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
17:35:1 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
17:35:1 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
17:35:1 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
17:35:1 | [PermissionManager] Adding Super Admin (76561198005481418)
17:35:1 | [PermissionManager] Loaded UserGroups.json
17:35:1 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
17:35:1 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
17:35:1 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
17:35:1 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
17:35:1 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
17:35:1 | Building Sets Loaded: 0
17:35:1 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
17:35:1 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
17:39:0 | Player "Survivor" (steamId=76561198005481418) connected to server!
17:46:39 | "76561198005481418" (steamid=76561198005481418) teleported to (pos=<8910.240234, 347.923859, 6362.229980>)
17:46:39 | "Survivor": (steamid=76561198005481418) teleported to (pos=8910.24,0,6362.23)
17:46:43 | "Survivor" (steamid=76561198005481418) /heal used on: "Survivor" (steamid=76561198005481418)
17:48:31 | "76561198005481418" (steamid=76561198005481418) teleported to (pos=<6482.549805, 294.786804, 7689.580078>)
17:48:31 | "Survivor": (steamid=76561198005481418) teleported to (pos=6482.55,0,7689.58)
17:48:44 | [WeatherManager] Send Data Count is 0
17:49:0 | [Time Manager] Setting Date to 2023/9/2011 11:59
18:3:29 | Player "Survivor (2)" (steamId=76561198030410516) connected to server!
18:37:43 | "76561198005481418" (steamid=76561198005481418) teleported to (pos=<2480.429932, 190.156723, 5162.350098>)
18:37:43 | "Survivor": (steamid=76561198005481418) teleported to (pos=2480.43,0,5162.35)
18:40:11 | "Survivor" (steamid=76561198005481418) toggled freecam
18:40:59 | "Survivor" (steamid=76561198005481418) toggled freecam
18:41:8 | "76561198005481418" (steamid=76561198005481418) teleported to (pos=<2457.199951, 202.286469, 5454.660156>)
18:41:8 | "Survivor": (steamid=76561198005481418) teleported to (pos=2457.2,0,5454.66)
18:50:47 | "76561198005481418" (steamid=76561198005481418) teleported to (pos=<4497.540039, 315.471741, 8290.990234>)
18:50:47 | "Survivor": (steamid=76561198005481418) teleported to (pos=4497.54,0,8290.99)
18:51:27 | [WeatherManager] Send Data Count is 0
18:51:31 | [Time Manager] Setting Date to 2023/10/2 11:28
19:15:24 | Player "Survivor (2)" (steamId=76561198030410516) initiated disconnect process...
19:15:30 | Player "Survivor" (steamId=76561198005481418) initiated disconnect process...
19:15:32 | Player "Survivor" (steamId=76561198005481418) disconnected early from server (EXIT NOW).
19:15:39 | Player "Survivor (2)" (steamId=76561198030410516) disconnected from server.
