=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-6-17_12-4-10
====================================================================================
12:4:10 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
12:4:10 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
12:4:10 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
12:4:10 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
12:4:10 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
12:4:10 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
12:4:10 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
12:4:10 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
12:4:10 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
12:4:10 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
12:4:10 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
12:4:10 | [PermissionManager] Perm (MenuBansManager) has been registered!
12:4:10 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
12:4:10 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
12:4:10 | [PermissionManager] Perm (MenuWebHooks) has been registered!
12:4:10 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
12:4:10 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
12:4:10 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
12:4:10 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
12:4:10 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
12:4:10 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
12:4:10 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
12:4:10 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
12:4:10 | [PermissionManager] Adding Super Admin (76561198005481418)
12:4:10 | [PermissionManager] Loaded UserGroups.json
12:4:10 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
12:4:10 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
12:4:10 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
12:4:10 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
12:4:10 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
12:4:10 | Building Sets Loaded: 0
12:4:10 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
12:4:10 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
12:8:18 | Player "Mozz" (steamId=76561198005481418) connected to server!
12:13:26 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:22:36 | Player "Mozz" (steamId=76561198005481418) initiated disconnect process...
12:22:51 | Player "Mozz" (steamId=76561198005481418) disconnected from server.
12:26:3 | Player "Mozz" (steamId=76561198005481418) connected to server!
12:26:39 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:31:42 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:31:44 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:31:45 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:32:2 | "Mozz" (steamid=76561198005481418) healed player (steamid=76561198005481418)
12:32:31 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:32:36 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:32:38 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:32:47 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:32:47 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:38:48 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
12:50:13 | Player "Survivor" (steamId=76561198030410516) connected to server!
12:53:55 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
13:2:7 | Player "Survivor" (steamId=76561198030410516) initiated disconnect process...
13:2:8 | Player "Survivor" (steamId=76561198030410516) disconnected early from server (EXIT NOW).
13:14:43 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
13:20:41 | "Mozz" (steamid=76561198005481418) /heal used on: "Mozz" (steamid=76561198005481418)
13:21:48 | "76561198005481418" (steamid=76561198005481418) teleported to (pos=<11593.400391, 57.910000, 14707.799805>)
13:21:48 | "Mozz": (steamid=76561198005481418) teleported to (pos=11593.4,0,14707.8)
13:26:58 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:26:58 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:26:58 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:26:59 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:26:59 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:0 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:0 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:0 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:0 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:0 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:0 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:1 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:1 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:1 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:29:1 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:40:15 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:40:16 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:40:17 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:40:17 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:40:17 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:40:17 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
13:43:33 | "Mozz" (steamid=76561198005481418) teleported to crosshair (pos=<11620.646484, 57.910000, 14656.685547>)
13:44:43 | "Mozz" (steamid=76561198005481418) Spawned Item: (TraderPlus_Money_Ruble1000)
14:25:43 | "Mozz" (steamid=76561198005481418) gave godmode to (steamid=76561198005481418)
14:26:31 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:26:47 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:26 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:27 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:27 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:27 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:28 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:28 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:28 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:28 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:28 | "Mozz" (steamid=76561198005481418) just updated a health stat on (steamid=76561198005481418)
14:29:31 | Player "Mozz" (steamId=76561198005481418) initiated disconnect process...
14:29:32 | Player "Mozz" (steamId=76561198005481418) disconnected early from server (EXIT NOW).
